대학명,대학코드,캠퍼스,전형분류,전형명,반영학년도,진로선택_반영비율,일반선택_반영비율,반영교과_인문,반영교과_자연,등급환산방식,반영지표,수능최저,출처URL,비고
한성대학교,0000200,본교,학생부교과,지역균형전형,2027,0,100,전과목,전과목,평균등급 근사(공식 환산점수 아님),등급,없음,https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000256853&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000200&searchSyr=2027,자동초안:subject=ALL_SUBJECTS|ratio=DEFAULT_GENERAL100_REVIEW|minreq=NO. 점수표 없이 간이 평균등급 추천용으로 포함. 공식 환산점수 아님.
한세대학교,0000201,본교,학생부교과,학생부교과우수자전형,2027,0,100,전과목,전과목,평균등급 근사(공식 환산점수 아님),등급,없음,https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000242919&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000201&searchSyr=2027,자동초안:subject=ALL_SUBJECTS|ratio=DEFAULT_GENERAL100_REVIEW|minreq=NO. 점수표 없이 간이 평균등급 추천용으로 포함. 공식 환산점수 아님.
한신대학교,0000202,본교,학생부교과,학교장추천전형,2027,0,100,미확인,미확인,평균등급 근사(공식 환산점수 아님),등급,미확인,https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000256624&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000202&searchSyr=2027,자동초안:subject=UNKNOWN|ratio=DEFAULT_GENERAL100_REVIEW|minreq=UNKNOWN. 점수표 없이 간이 평균등급 추천용으로 포함. 공식 환산점수 아님.
한신대학교,0000202,본교,학생부교과,학생부우수자전형,2027,0,100,미확인,미확인,평균등급 근사(공식 환산점수 아님),등급,미확인,https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000256624&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000202&searchSyr=2027,자동초안:subject=UNKNOWN|ratio=DEFAULT_GENERAL100_REVIEW|minreq=UNKNOWN. 점수표 없이 간이 평균등급 추천용으로 포함. 공식 환산점수 아님.
한양대학교,0000203,본교,학생부교과,학생부교과 전형,2027,0,100,전과목,전과목,평균등급 근사(공식 환산점수 아님),등급,없음,https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000257097&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000203&searchSyr=2027,자동초안:subject=ALL_SUBJECTS|ratio=PDF_CAREER_NOT_REFLECTED|minreq=NO. 점수표 없이 간이 평균등급 추천용으로 포함. 공식 환산점수 아님.
한양대학교(ERICA),0000204,분교,학생부교과,학생부교과,2027,0,100,전과목,전과목,평균등급 근사(공식 환산점수 아님),등급,없음,https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000257781&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000204&searchSyr=2027,자동초안:subject=ALL_SUBJECTS|ratio=PDF_CAREER_NOT_REFLECTED|minreq=NO. 점수표 없이 간이 평균등급 추천용으로 포함. 공식 환산점수 아님.
협성대학교,0000207,본교,학생부교과,특성화고교졸업자전형,2027,0,100,전과목,전과목,평균등급 근사(공식 환산점수 아님),등급,없음,https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000252867&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000207&searchSyr=2027,자동초안:subject=ALL_SUBJECTS|ratio=DEFAULT_GENERAL100_REVIEW|minreq=NO. 점수표 없이 간이 평균등급 추천용으로 포함. 공식 환산점수 아님.
협성대학교,0000207,본교,학생부교과,학생부교과우수자전형,2027,0,100,전과목,전과목,평균등급 근사(공식 환산점수 아님),등급,없음,https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000252867&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000207&searchSyr=2027,자동초안:subject=ALL_SUBJECTS|ratio=DEFAULT_GENERAL100_REVIEW|minreq=NO. 점수표 없이 간이 평균등급 추천용으로 포함. 공식 환산점수 아님.
호남신학대학교,0000209,본교,학생부교과,학생부교과전형,2027,0,100,국·수·영·사·과,국·수·영·사·과,평균등급 근사(공식 환산점수 아님),등급,미확인,https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000245186&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000209&searchSyr=2027,자동초안:subject=ALL5|ratio=PDF_CAREER_NOT_REFLECTED|minreq=UNKNOWN. 점수표 없이 간이 평균등급 추천용으로 포함. 공식 환산점수 아님.
호서대학교,0000211,본교,학생부교과,특성화고등학교졸업자전형,2027,0,100,국·수·영·사·과,국·수·영·사·과,평균등급 근사(공식 환산점수 아님),등급,없음,https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000256550&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000211&searchSyr=2027,자동초안:subject=ALL5|ratio=DEFAULT_GENERAL100_REVIEW|minreq=NO. 점수표 없이 간이 평균등급 추천용으로 포함. 공식 환산점수 아님.
호원대학교,0000282,본교,학생부교과,특성화고졸재직자전형,2027,0,100,국·수·영·사·과,국·수·영·사·과,평균등급 근사(공식 환산점수 아님),등급,없음,https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000256723&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000282&searchSyr=2027,자동초안:subject=ALL5|ratio=DEFAULT_GENERAL100_REVIEW|minreq=NO. 점수표 없이 간이 평균등급 추천용으로 포함. 공식 환산점수 아님.
홍익대학교,0000212,본교,학생부교과,학교장추천자전형/학생부교과전형,2027,0,100,전과목,전과목,평균등급 근사(공식 환산점수 아님),등급,없음,https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000257509&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000212&searchSyr=2027,자동초안:subject=ALL_SUBJECTS|ratio=DEFAULT_GENERAL100_REVIEW|minreq=NO. 점수표 없이 간이 평균등급 추천용으로 포함. 공식 환산점수 아님.
화성의과학대학교,0000233,본교,학생부교과,학생부교과 기초생활수급자 및 차상위계층 특별전형,2027,0,100,미확인,미확인,평균등급 근사(공식 환산점수 아님),등급,미확인,https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000257746&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000233&searchSyr=2027,자동초안:subject=UNKNOWN|ratio=DEFAULT_GENERAL100_REVIEW|minreq=UNKNOWN. 점수표 없이 간이 평균등급 추천용으로 포함. 공식 환산점수 아님.
화성의과학대학교,0000233,본교,학생부교과,학생부교과 농어촌고교 특별전형,2027,0,100,미확인,미확인,평균등급 근사(공식 환산점수 아님),등급,미확인,https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000257746&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000233&searchSyr=2027,자동초안:subject=UNKNOWN|ratio=DEFAULT_GENERAL100_REVIEW|minreq=UNKNOWN. 점수표 없이 간이 평균등급 추천용으로 포함. 공식 환산점수 아님.
화성의과학대학교,0000233,본교,학생부교과,학생부교과 일반전형,2027,0,100,미확인,미확인,평균등급 근사(공식 환산점수 아님),등급,미확인,https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000257746&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000233&searchSyr=2027,자동초안:subject=UNKNOWN|ratio=DEFAULT_GENERAL100_REVIEW|minreq=UNKNOWN. 점수표 없이 간이 평균등급 추천용으로 포함. 공식 환산점수 아님.
화성의과학대학교,0000233,본교,학생부교과,학생부교과 특성화고교 졸업자 특별전형,2027,0,100,미확인,미확인,평균등급 근사(공식 환산점수 아님),등급,미확인,https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000257746&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000233&searchSyr=2027,자동초안:subject=UNKNOWN|ratio=DEFAULT_GENERAL100_REVIEW|minreq=UNKNOWN. 점수표 없이 간이 평균등급 추천용으로 포함. 공식 환산점수 아님.
